Step,Acc,Loss
1074,0.859,0.39
1075,0.859,0.39
1076,0.891,0.26
1077,0.891,0.26
1078,0.875,0.31
1079,0.875,0.31
1080,0.984,0.2
1081,0.984,0.2
1082,0.859,0.44
1083,0.859,0.44
1084,0.844,0.36
1085,0.844,0.36
1086,0.922,0.32
1087,0.922,0.32
1088,0.906,0.34
1089,0.906,0.34
1090,0.953,0.17
1091,0.953,0.17
1092,0.906,0.31
1093,0.906,0.31
1094,0.922,0.22
1095,0.922,0.22
1096,0.844,0.42
1097,0.844,0.42
1098,0.922,0.24
1099,0.922,0.24
1100,0.859,0.39
1101,0.859,0.39
1102,0.938,0.27
1103,0.938,0.27
1104,0.953,0.21
1105,0.953,0.21
1106,0.891,0.41
1107,0.891,0.41
1108,0.922,0.3
1109,0.922,0.3
1110,0.875,0.4
1111,0.875,0.4
1112,0.953,0.2
1113,0.953,0.2
1114,0.906,0.37
1115,0.906,0.37
1116,0.906,0.28
1117,0.906,0.28
1118,0.859,0.49
1119,0.859,0.49
1120,0.953,0.29
1121,0.953,0.29
1122,0.906,0.28
1123,0.906,0.28
1124,0.859,0.41
1125,0.859,0.41
1126,0.859,0.41
1127,0.859,0.41
1128,0.875,0.41
1129,0.875,0.41
1130,0.875,0.39
1131,0.875,0.39
1132,0.906,0.29
1133,0.906,0.29
1134,0.875,0.32
1135,0.875,0.32
1136,0.891,0.41
1137,0.891,0.41
1138,0.75,0.58
1139,0.75,0.58
1140,0.859,0.51
1141,0.859,0.51
1142,0.922,0.28
1143,0.922,0.28
1144,0.891,0.42
1145,0.891,0.42
1146,0.891,0.4
1147,0.891,0.4
1148,0.891,0.25
1149,0.891,0.25
1150,0.891,0.3
1151,0.891,0.3
1152,0.891,0.39
1153,0.891,0.39
1154,0.906,0.34
1155,0.906,0.34
1156,0.906,0.31
1157,0.906,0.31
1158,0.938,0.26
1159,0.938,0.26
1160,0.859,0.41
1161,0.859,0.41
1162,0.875,0.39
1163,0.875,0.39
1164,0.844,0.49
1165,0.844,0.49
1166,0.891,0.23
1167,0.891,0.23
1168,0.891,0.33
1169,0.891,0.33
1170,0.938,0.23
1171,0.938,0.23
1172,0.922,0.23
1173,0.922,0.23
1174,0.891,0.39
1175,0.891,0.39
1176,0.906,0.31
1177,0.906,0.31
1178,0.875,0.47
1179,0.875,0.47
1180,0.797,0.53
1181,0.797,0.53
1182,0.844,0.38
1183,0.844,0.38
1184,0.844,0.36
1185,0.844,0.36
1186,0.891,0.38
1187,0.891,0.38
1188,0.922,0.28
1189,0.922,0.28
1190,0.938,0.27
1191,0.938,0.27
1192,0.828,0.48
1193,0.828,0.48
1194,0.859,0.3
1195,0.859,0.3
1196,0.875,0.41
1197,0.875,0.41
1198,0.812,0.46
1199,0.812,0.46
1200,0.891,0.3
1201,0.891,0.3
1202,0.875,0.34
1203,0.875,0.34
1204,0.922,0.25
1205,0.922,0.25
1206,0.844,0.51
1207,0.844,0.51
1208,0.828,0.5
1209,0.828,0.5
1210,0.938,0.22
1211,0.938,0.22
1212,0.906,0.25
1213,0.906,0.25
1214,0.938,0.25
1215,0.938,0.25
1216,0.906,0.28
1217,0.906,0.28
1218,0.922,0.27
1219,0.922,0.27
1220,0.906,0.35
1221,0.906,0.35
1222,0.891,0.43
1223,0.891,0.43
1224,0.891,0.36
1225,0.891,0.36
