Step,Acc,Loss
978,0.906,0.34
979,0.906,0.34
980,0.938,0.27
981,0.938,0.27
982,0.906,0.27
983,0.906,0.27
984,0.867,0.4
985,0.867,0.4
986,0.906,0.29
987,0.906,0.29
988,0.875,0.37
989,0.875,0.37
990,0.945,0.26
991,0.945,0.26
992,0.914,0.33
993,0.914,0.33
994,0.914,0.31
995,0.914,0.31
996,0.852,0.52
997,0.852,0.52
998,0.891,0.28
999,0.891,0.28
1000,0.938,0.26
1001,0.938,0.26
1002,0.852,0.37
1003,0.852,0.37
1004,0.891,0.31
1005,0.891,0.31
1006,0.914,0.35
1007,0.914,0.35
1008,0.938,0.23
1009,0.938,0.23
1010,0.945,0.23
1011,0.945,0.23
1012,0.914,0.3
1013,0.914,0.3
1014,0.898,0.38
1015,0.898,0.38
1016,0.914,0.31
1017,0.914,0.31
1018,0.93,0.25
1019,0.93,0.25
1020,0.914,0.27
1021,0.914,0.27
1022,0.922,0.23
1023,0.922,0.23
1024,0.906,0.37
1025,0.906,0.37
1026,0.875,0.34
1027,0.875,0.34
1028,0.867,0.37
1029,0.867,0.37
1030,0.906,0.25
1031,0.906,0.25
1032,0.82,0.44
1033,0.82,0.44
1034,0.898,0.43
1035,0.898,0.43
1036,0.906,0.27
1037,0.906,0.27
1038,0.875,0.34
1039,0.875,0.34
1040,0.898,0.32
1041,0.898,0.32
1042,0.922,0.34
1043,0.922,0.34
1044,0.875,0.37
1045,0.875,0.37
1046,0.898,0.32
1047,0.898,0.32
1048,0.898,0.32
1049,0.898,0.32
1050,0.906,0.25
1051,0.906,0.25
1052,0.906,0.31
1053,0.906,0.31
1054,0.883,0.41
1055,0.883,0.41
1056,0.883,0.35
1057,0.883,0.35
1058,0.836,0.43
1059,0.836,0.43
1060,0.867,0.35
1061,0.867,0.35
1062,0.93,0.29
1063,0.93,0.29
1064,0.914,0.27
1065,0.914,0.27
1066,0.922,0.26
1067,0.922,0.26
1068,0.898,0.36
1069,0.898,0.36
1070,0.945,0.21
1071,0.945,0.21
1072,0.875,0.45
1073,0.875,0.45
1074,0.875,0.37
1075,0.875,0.37
1076,0.914,0.3
1077,0.914,0.3
1078,0.914,0.3
1079,0.914,0.3
1080,0.891,0.31
1081,0.891,0.31
1082,0.922,0.26
1083,0.922,0.26
1084,0.898,0.32
1085,0.898,0.32
1086,0.898,0.31
1087,0.898,0.31
1088,0.891,0.41
1089,0.891,0.41
1090,0.891,0.32
1091,0.891,0.32
1092,0.852,0.44
1093,0.852,0.44
1094,0.891,0.34
1095,0.891,0.34
1096,0.891,0.36
1097,0.891,0.36
1098,0.945,0.22
1099,0.945,0.22
1100,0.883,0.38
1101,0.883,0.38
1102,0.875,0.36
1103,0.875,0.36
1104,0.914,0.3
1105,0.914,0.3
1106,0.875,0.33
1107,0.875,0.33
1108,0.891,0.34
1109,0.891,0.34
1110,0.891,0.31
1111,0.891,0.31
1112,0.914,0.29
1113,0.914,0.29
1114,0.891,0.36
1115,0.891,0.36
1116,0.875,0.33
1117,0.875,0.33
1118,0.891,0.4
1119,0.891,0.4
1120,0.938,0.21
1121,0.938,0.21
1122,0.875,0.34
1123,0.875,0.34
1124,0.938,0.24
1125,0.938,0.24
1126,0.891,0.3
1127,0.891,0.3
1128,0.891,0.29
1129,0.891,0.29
1130,0.875,0.32
1131,0.875,0.32
1132,0.891,0.37
1133,0.891,0.37
1134,0.891,0.29
1135,0.891,0.29
1136,0.914,0.23
1137,0.914,0.23
1138,0.891,0.33
1139,0.891,0.33
1140,0.914,0.28
1141,0.914,0.28
1142,0.875,0.43
1143,0.875,0.43
1144,0.891,0.42
1145,0.891,0.42
1146,0.914,0.28
1147,0.914,0.28
1148,0.914,0.32
1149,0.914,0.32
1150,0.891,0.3
1151,0.891,0.3
1152,0.914,0.27
1153,0.914,0.27
1154,0.914,0.31
1155,0.914,0.31
1156,0.891,0.35
1157,0.891,0.35
1158,0.883,0.38
1159,0.883,0.38
1160,0.891,0.35
1161,0.891,0.35
1162,0.891,0.32
1163,0.891,0.32
1164,0.938,0.23
1165,0.938,0.23
1166,0.914,0.32
1167,0.914,0.32
1168,0.938,0.25
1169,0.938,0.25
1170,0.906,0.29
1171,0.906,0.29
1172,0.914,0.31
1173,0.914,0.31
1174,0.898,0.28
1175,0.898,0.28
1176,0.891,0.33
1177,0.891,0.33
1178,0.859,0.29
1179,0.859,0.29
1180,0.898,0.35
1181,0.898,0.35
1182,0.875,0.45
1183,0.875,0.45
1184,0.906,0.43
1185,0.906,0.43
1186,0.922,0.3
1187,0.922,0.3
1188,0.922,0.25
1189,0.922,0.25
1190,0.922,0.24
1191,0.922,0.24
1192,0.922,0.29
1193,0.922,0.29
1194,0.945,0.27
1195,0.945,0.27
1196,0.859,0.45
1197,0.859,0.45
1198,0.906,0.3
1199,0.906,0.3
1200,0.922,0.25
1201,0.922,0.25
1202,0.922,0.27
1203,0.922,0.27
1204,0.922,0.27
1205,0.922,0.27
1206,0.906,0.33
1207,0.906,0.33
1208,0.859,0.37
1209,0.859,0.37
1210,0.859,0.36
1211,0.859,0.36
1212,0.898,0.3
1213,0.898,0.3
1214,0.859,0.48
1215,0.859,0.48
1216,0.883,0.36
1217,0.883,0.36
1218,0.898,0.31
1219,0.898,0.31
1220,0.859,0.32
1221,0.859,0.32
1222,0.922,0.27
1223,0.922,0.27
1224,0.938,0.21
1225,0.938,0.21
1226,0.898,0.32
1227,0.898,0.32
1228,0.914,0.35
1229,0.914,0.35
1230,0.898,0.31
1231,0.898,0.31
1232,0.93,0.32
1233,0.93,0.32
1234,0.945,0.23
1235,0.945,0.23
1236,0.922,0.28
1237,0.922,0.28
1238,0.883,0.34
1239,0.883,0.34
1240,0.922,0.3
1241,0.922,0.3
1242,0.883,0.32
1243,0.883,0.32
1244,0.875,0.32
1245,0.875,0.32
1246,0.891,0.34
1247,0.891,0.34
1248,0.859,0.48
1249,0.859,0.48
1250,0.883,0.48
1251,0.883,0.48
1252,0.945,0.23
1253,0.945,0.23
1254,0.898,0.33
1255,0.898,0.33
1256,0.898,0.41
1257,0.898,0.41
1258,0.875,0.39
1259,0.875,0.39
1260,0.906,0.27
1261,0.906,0.27
1262,0.906,0.28
1263,0.906,0.28
1264,0.875,0.37
1265,0.875,0.37
1266,0.891,0.31
1267,0.891,0.31
1268,0.906,0.34
1269,0.906,0.34
1270,0.883,0.36
1271,0.883,0.36
1272,0.898,0.35
1273,0.898,0.35
1274,0.906,0.32
1275,0.906,0.32
1276,0.898,0.3
1277,0.898,0.3
1278,0.914,0.27
1279,0.914,0.27
1280,0.914,0.27
1281,0.914,0.27
1282,0.891,0.29
1283,0.891,0.29
1284,0.906,0.3
1285,0.906,0.3
1286,0.914,0.27
1287,0.914,0.27
1288,0.828,0.46
1289,0.828,0.46
1290,0.938,0.22
1291,0.938,0.22
1292,0.906,0.31
1293,0.906,0.31
1294,0.93,0.3
1295,0.93,0.3
1296,0.906,0.37
1297,0.906,0.37
1298,0.914,0.26
1299,0.914,0.26
1300,0.914,0.27
1301,0.914,0.27
1302,0.906,0.34
1303,0.906,0.34
1304,0.922,0.26
1305,0.922,0.26
1306,0.898,0.29
1307,0.898,0.29
1308,0.883,0.37
1309,0.883,0.37
1310,0.93,0.29
1311,0.93,0.29
1312,0.906,0.26
1313,0.906,0.26
1314,0.898,0.26
1315,0.898,0.26
1316,0.859,0.38
1317,0.859,0.38
1318,0.938,0.27
1319,0.938,0.27
1320,0.922,0.26
1321,0.922,0.26
1322,0.875,0.38
1323,0.875,0.38
1324,0.875,0.36
1325,0.875,0.36
1326,0.938,0.24
1327,0.938,0.24
1328,0.922,0.3
1329,0.922,0.3
1330,0.938,0.24
1331,0.938,0.24
1332,0.922,0.2
1333,0.922,0.2
1334,0.906,0.37
1335,0.906,0.37
1336,0.891,0.34
1337,0.891,0.34
1338,0.945,0.24
